job_name,company_name,job_url,work_place,salary,publish_time
大数据开发工程师,广州德易计算机科技有限公司,https://jobs.51job.com/guangzhou-hzq/85387083.html?s=01&t=0,广州-海珠区,10.0-15.0千/月,12-07
机器学习工程师,广州群友信息科技有限公司,https://jobs.51job.com/guangzhou-pyq/96219026.html?s=01&t=0,广州-番禺区,10.0-20.0千/月,12-08
算法工程师,广东南方数码科技股份有限公司,https://jobs.51job.com/guangzhou/105570206.html?s=01&t=0,广州,15.0-20.0千/月,12-07
生物信息工程师,广州达瑞生殖技术有限公司,https://jobs.51job.com/guangzhou-hpq/99360318.html?s=01&t=0,广州-黄埔区,5.0-10.0千/月,12-07
生物信息分析工程师,广州基迪奥生物科技有限公司,https://jobs.51job.com/guangzhou/96015606.html?s=01&t=0,广州,6-8千/月,12-07
高级BI工程师,深圳合众财富金融投资管理有限公司...,https://jobs.51job.com/guangzhou/102708365.html?s=01&t=0,广州,15.0-25.0千/月,12-06
大数据开发工程师,广州机智云物联网科技有限公司,https://jobs.51job.com/guangzhou-thq/102806377.html?s=01&t=0,广州-天河区,12.0-22.0千/月,12-08
大数据负责人,广州博依特智能信息科技有限公司,https://jobs.51job.com/guangzhou-hpq/108426509.html?s=01&t=0,广州-黄埔区,20.0-25.0千/月,12-07
运维工程师,万客隆（广州）食品有限公司,https://jobs.51job.com/guangzhou/101661733.html?s=01&t=0,广州,9.0-15.0千/月,12-07
生物信息高级工程师,广州复能基因有限公司,https://jobs.51job.com/guangzhou/53862588.html?s=01&t=0,广州,7.0-15.0千/月,12-07
数据分析师,广东方纬科技有限公司,https://jobs.51job.com/guangzhou-pyq/103140795.html?s=01&t=0,广州-番禺区,8.0-15.0千/月,12-09
数据挖掘分析员,广东龙泉科技有限公司,https://jobs.51job.com/guangzhou-hzq/91113677.html?s=01&t=0,广州-海珠区,7.0-16.0千/月,11-29
大数据开发工程师,广州青蜂信息科技有限公司,https://jobs.51job.com/guangzhou-thq/105842824.html?s=01&t=0,广州-天河区,10.0-20.0千/月,12-04
生信工程师,广州市明领信息科技有限公司,https://jobs.51job.com/guangzhou/108293211.html?s=01&t=0,广州,7.0-10.0千/月,12-05
数据挖掘工程师（算法专家）,广州衡昊数据科技有限公司,https://jobs.51job.com/guangzhou-hpq/85620791.html?s=01&t=0,广州-黄埔区,18.0-24.0千/月,11-26
DBA/数据库管理员,广州壹豆网络科技有限公司,https://jobs.51job.com/guangzhou-thq/106533365.html?s=01&t=0,广州-天河区,10.0-20.0千/月,11-08
SEO优化,广州虎牙信息科技有限公司,https://jobs.51job.com/guangzhou-pyq/108027871.html?s=01&t=0,广州-番禺区,5.0-12.0千/月,12-03
大数据架构师,固生堂中医连锁集团,https://jobs.51job.com/guangzhou/100118384.html?s=01&t=0,广州,20.0-25.0千/月,11-12
数据库开发工程师,时代大数据,https://jobs.51job.com/guangzhou-thq/97283726.html?s=01&t=0,广州-天河区,8.0-13.0千/月,11-08
高级大数据开发工程师,佳都新太科技股份有限公司,https://jobs.51job.com/guangzhou-thq/103552245.html?s=01&t=0,广州-天河区,20.0-25.0千/月,10-23
DSP后端研发工程师,有米科技股份有限公司,https://jobs.51job.com/guangzhou-pyq/104591061.html?s=01&t=0,广州-番禺区,14.0-25.0千/月,10-12
高级信息安全工程师,无限极（中国）有限公司,https://jobs.51job.com/guangzhou-thq/102656090.html?s=01&t=0,广州-天河区,,12-05
Python讲师,广州粤嵌通信科技股份有限公司,https://jobs.51job.com/guangzhou-hpq/108609053.html?s=01&t=0,广州-黄埔区,1.5-2千/月,12-07
数据分析师（荔湾西朗）,绿瘦健康产业集团有限公司,https://jobs.51job.com/guangzhou-lwq/102488641.html?s=01&t=0,广州-荔湾区,8.0-12.0千/月,12-06
大数据开发工程师,广州多益网络股份有限公司,https://jobs.51job.com/guangzhou-hpq/76176233.html?s=01&t=0,广州-黄埔区,15.0-25.0千/月,10-16
量化交易员助理,广东凡德投资有限公司,https://jobs.51job.com/guangzhou-thq/100606280.html?s=01&t=0,广州-天河区,8.0-10.0千/月,10-16
数据挖掘工程师,广州龙亿信息技术有限公司,https://jobs.51job.com/guangzhou/102351819.html?s=01&t=0,广州,15.0-25.0千/月,10-23
大数据开发工程师,广州市丰申网络科技有限公司,https://jobs.51job.com/guangzhou-thq/100272736.html?s=01&t=0,广州-天河区,10.0-20.0千/月,11-02
测试开发工程师,珠海金山软件股份有限公司,https://jobs.51job.com/guangzhou-thq/105530556.html?s=01&t=0,广州-天河区,13.0-18.0千/月,11-07
C++开发工程师,广州金十信息科技有限公司,https://jobs.51job.com/guangzhou-hzq/70049309.html?s=01&t=0,广州-海珠区,15.0-30.0千/月,11-07
数据挖掘工程师,普益财富,https://jobs.51job.com/guangzhou-thq/100587670.html?s=01&t=0,广州-天河区,6.0-10.0千/月,11-22
Group M-Data Solution Executive 数据项目助理,GroupM群邑（上海）广告有限公司广...,https://jobs.51job.com/guangzhou-thq/107600138.html?s=01&t=0,广州-天河区,8.0-15.0千/月,11-23
JavaWeb开发工程师,广州碧软信息科技有限公司,https://jobs.51job.com/guangzhou/107002661.html?s=01&t=0,广州,10.0-18.0千/月,11-23
