job_name,company_name,region,hands_on_background,academic_requirement,how_many,extra_requirement,functional_categories,work_place,job_information,company_url,num_of_companies,job_url,申请
商品数据分析员,广州市佛伦斯服饰有限公司,广州,1年经验,大专,招1人,普通话精通'],   统计员,  上班地址：广州市天河区珠江新城珠江西路10号高德置地广场C塔20楼,"['岗位职责：', '1、对数据进行采集，按时提取日、周、月报数据，做出对比分析；', '2、对销售数据趋势的列举及有效的分析，为商品分配、补货和调货提供有效建议；', '3、对新品上市后，跟踪销售分析以及后期市场需求预测', '4、将有关分析数据整合，及时向公司领导及有关部门上报', '', '任职要求：', '1、 大专或以上学历，统计学相关专业优先；', '2、 至少3年以上服装行业数据分析经验，有服装行业经验优先；', '3、 对数据敏感，熟悉excel各类函数公式运用，有较强的数据分析和预测能力；', '4、 熟悉服装行业货品管理知识，熟悉货品上市流程。']",http://www.folunsi.com,500-1000人,https://jobs.51job.com/guangzhou/95601921.html?s=01&t=0,1
数据分析专员（会员方向）,大参林医药集团股份有限公司,广州,1年经验,本科,招1人,,   业务分析专员助理,  上班地址：广州市荔湾区龙溪大道410号,"['岗位职责：', '1、定期出具会员报表，包括会员绩效分析，等级会员分析，会员活动效果分析等； ', '2、从数据中找到问题点和机会点，给予会员营销方案指导； ', '3、 监控会员平台交互数据，针对会员交互路径和轨迹给营销团队提供洞察分析； ', '4、会员活动费用预估。  ', '任职要求：', '1、本科或以上学历，统计学相关专业优先；', '2、1年以上零售行业数据分析工作经验优先。']",http://www.dslyy.com/,10000人以上,https://jobs.51job.com/guangzhou/107809360.html?s=01&t=0,1
销售数据分析,联想中望系统服务有限公司（现越亮...,广州,1年经验,大专,招1人,,   业务分析专员助理,  上班地址：广州市天河北路898号信源大厦307-309室,"['', '岗位职责：', '1、负责相关业务数据统计整理及运营数据分析、报表输出（日报、周报、月报）；', '2、负责营销活动数据统计分析及报告输出；', '3、监察采集竞争对手信息数据，定时提交同行分析报告；', '4、提取和制作周期数据制作成图表，推进运营指标改善；', '5、其他临时数据分析需求的调研、分析及实现；', ' ', '岗位要求：', '1、专科或以上学历，统计等相关专业优先，1年及以上工作经验优先；', '2、精通office相关软件，能够用word、Excel、PPT实现工作中所有需求。善于使用EXCEL制作图表，熟悉数据库基本操作；', '3、对数字敏感，思维清晰而有条理，具备良好的口头表达能力和较强的沟通协调能力；', '4、熟悉互联网行业务数据分析，有互联网从业经验。', '']",http://www.hvgroup.com.cn,500-1000人,https://jobs.51job.com/guangzhou/108961005.html?s=01&t=0,1
数据分析师,广东艾希兰品牌管理有限公司,广州-白云区,1年经验,大专,招1人,,   数据库工程师管理员,  上班地址：广东省广州市白云区新市连元大厦811,"['1、常规数据监控及定向数据分析，有能力搭建公司的整体经营数据模型；', '2、用户画像体系搭建，挖掘客户服务和交易数据，针对问题通过数据分析报告，为运营解决问题提供数据支持；', '3、线上活动效果分析，优化活动效果；', '4、至少1年以上数据处理,数据分析等相关经验；', '5、熟悉相关挖掘算法，掌握主流数据分析方法', '6、掌握至少一种数据挖掘工具，精通SQL语句，熟悉互联网业务指标数据体系搭建和常用业务分析方法，能独立完成专项分析报表', '【能力强者，有机会晋升成为整个增长团队的负责人】']",http://www.160shop.com,少于50人,https://jobs.51job.com/guangzhou-byq/104603445.html?s=01&t=0,1
商品数据分析员,深圳市红四海纺织品有限公司,广州-白云区,1年经验,大专,招2人,普通话熟练'],   市场分析调研人员,  上班地址：黄边北路汇金大厦,"['岗位职责：', '', '1、对下架及不动销的商品进行分析并货；', '2、负责策划特价货品的促销活动；', '3、策划过季货品的退仓/收仓；', '4、销售数据统计与分析；', '5、引导店铺补货、跟进落实并追踪结果。', '', '任职要求：', '', '1、具有丰富的服装管理或商品管理、数据管理等资格；', '2、熟悉货品运转及数据统计；', '3、具有服装管理、商品管理等相关工作经验；', '4、会计、统计学专业者优先考虑。']",http://www.ailsha.com/,500-1000人,https://jobs.51job.com/guangzhou-byq/108088236.html?s=01&t=0,1
数据分析助理,广州通达汽车电气股份有限公司,广州-白云区,无工作经验,本科,招2人,普通话熟练,   统计员,  上班地址：西槎路聚龙工业区14栋,"['岗位名称：数据分析助理', '岗位职责：', '1、负责产品或者数据平台的需求调研、数据分析等工作；', '2、通过数据分析深入探索数据的潜在商业价值以及实现成本控制及风险预估；', '3、负责公司成本核算、员工计件工资的审核、计发等 ；', '', '任职资格：', '1、本科以上学历，数学、统计、经济等相关专业；', '2、熟悉数据软件SQLserver，熟练使用SPSS、SAS、Eviews、R语言等统计软件；', '3、熟练使用EXCEL表及涵数运算，良好的数据敏感度和逻辑思维能力，能从海量数据提炼核心结果；有较强的数据分析能力，具备良好的沟通能力和表达能力，能够独立开展业务调研、数据分析工作。', '', '一经录用、待遇从优！']",http://www.tongda.cc,1000-5000人,https://jobs.51job.com/guangzhou-byq/108705848.html?s=01&t=0,1
数据分析员/经理助理/数据统计员（广州白云区上班）,深圳市森广源实业发展有限公司,广州-白云区,无工作经验,大专,招2人,,   订单处理员,  上班地址：人和镇秀水村沙滩西28号中国移动B栋2楼,"['1、具备较强的公文写作能力；', '2、有数据统计及数据分析能力；', '3、负责对接客户处理业务异常；', '4、负责日常业务往来邮件处理；', '5、定期对进出库数据进行统计；', '6、定期向客户和上级反馈业务数据。', '', '上班地址：广州市白云区人和镇秀水村沙滩西28号中国移动B栋2楼', '联系人：杨经理13802805230']",http://www.szsgy.com,150-500人,https://jobs.51job.com/guangzhou-byq/105139739.html?s=01&t=0,1
商品专员/数据分析,广州衣酷服饰有限公司,广州-白云区,1年经验,大专,招2人,,   市场分析调研人员,  上班地址：嘉禾街康庄路2号龙禧广场A栋4-6楼,"['1.负责对电商销售平台商品进行合理规划、调配，安排各平台产品上下架并跟进落实；', '2. 对平台每日销售情况进行实时监控，进行畅销品实时调配与划拨；', '3. 负责每月配货、对帐、盘点等；', '4. 配合各平台活动进行商品选款、促销价议定、报名数量规划，并对每期节点活动销售进行即时分析；', '5. 对网店退货及质量投诉进行分析，减少退款率，保障部门目标达成。', '', '<b>任职资格：</b>', '1.大专或以上学历；', '2.一年以上线上箱包或服饰行业同等岗位工作经验；', '3.对数字敏感，能熟练运用EXCEL各项数据功能；', '4.有较强的责任心及团队精神。', '', '', '薪酬与福利：', '1，工作时间：大小周工作制 ；', '2，公司为员工统一购买社保；', '3，完善的薪酬体制：享受年度至少一次调薪机会；', '4，公司每月定期发布竞岗，为员工提供竞岗平台；', '5，丰富的员工福利：免费工作餐，生日会，每周下午茶，年度体检，年度旅游，各类年节福利等；', '6，年度旅游，年度体检，每月文娱活动，部门活动等；', '7，多彩的员工活动：春节晚会、双十一誓师大会、羽毛球、篮球俱乐部等；', '8，工作环境：人性化的办公场所']",http://www.hautton.net/,150-500人,https://jobs.51job.com/guangzhou-byq/97321911.html?s=01&t=0,1
数据分析,广州衣百服饰有限公司,广州-番禺区,无工作经验,大专,招2人,,   统计员,  上班地址：广州市番禺区地铁二号线会江站金河产业园D2栋3楼,"['岗位职责：', '1、负责各类周报表、月报表、季度报表、年度报表的统计制作。', '2、负责数据采集、数据备份及数据保密，包括业绩、天气、商圈、人流、用户等。', '3、参与数据BI体系建立及参加相关培训课程。', '4、负责数据监督门店制度、各部门制度执行，并统计异常情况。', '5、负责公司仓库盘点，包括门店仓、总仓、物料仓。', '6、负责ERP系统中单据、渠道资料、用户资料、权限资料等模块管理。', '7、负责ERP系统服务器问题及汇总开发需求，对接ERP软件公司解决。', '8、负责远程协助门店安装ERP软件并处理简单问题。', '9、负责顾客订货流程对接处理。', '10、负责过季商品门店打包和拆包工作对接处理。', '', '任职资格：', '1、工作认真负责，具备较强解决问题能力，对数据敏感；', '2、熟练使用WORD，EXCEL等办公软件；', '3、工作经验不限。', '']",http://微信公众号：hurry100,500-1000人,https://jobs.51job.com/guangzhou-pyq/60772106.html?s=01&t=0,1
数据分析师,广州爱旅拍文化传播有限公司,广州-番禺区,1年经验,大专,招若干人,,   市场分析调研人员,  上班地址：广州市番禺区市桥禺山西路329号海伦堡创意园1座C区2楼224-226,"['1、负责对市场、行业、竞争对手、产品、客户、业务运营等方面数据的收集、分析，完成整理出分析报告、提供数据支持、分析建议；', '2、对公司经营管理、市场发展需求预测、市场运营决策、产品研发、销售策略、各部门业绩达标等方面提供数据支持，做出分析，编制分析模型，形成有效的结果；', '3、负责建立指标体系及报表体系，监控业绩达成情况；', '4、负责解读运营数据波动情况并提出应对策略；', '', '任职资格：', '1、精通各种数据挖掘算法（如逻辑回归、决策树、贝叶斯、神经网络等）及其原理，能根据业务分析专题，建立挖掘模型，选择最合适和高效的实现算法，具备使用Excel、SQL、SPSS/SAS、web trends、cognos等工具处理和分析较大量级数据的能力；', '2、熟练使用R/Mahout/SPSS/SAS其中某一种或多种分析软件；熟悉Hadoop的体系架构和运行原理，熟悉Hadoop的MapReduce原理；', '3、具备较强的数据解读能力、业务沟通能力和文档写作能力；', '4、具有海量数据挖掘及分析相关项目经验，具有政府或运营商大数据分析挖掘经验、文本挖掘经验者优先。', '5、具有优秀的学习能力，条理清晰，有良好的表达能力及沟通能力，有较强的组织语言文字功底，数据分析和逻辑能力；', '6、做事认真细心，有上进心，有责任感，能承受工作压力，团队意识强。', '']",http://www.goilvpai.com,少于50人,https://jobs.51job.com/guangzhou-pyq/103856468.html?s=01&t=0,1
